choice,dataset_collection,camera_src,pcd_src,sampling_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,indoor,COLMAP Cams,Both Pcds,confidence,0.06888560143609841,0.0007877774575414757,24.11595916748047,0.16323035955429077,0.7288965185483297,0.678520377771354
COLMAP,indoor,COLMAP Cams,Both Pcds,random,0.07052337874968846,0.0007731347189595302,23.849040985107422,0.16355635225772858,0.7230725288391113,0.6699703764690835
COLMAP,indoor,COLMAP Cams,Both Pcds,voxels,0.06924114935100079,0.0008079013884222755,23.993411382039387,0.1644373188416163,0.7197243968645731,0.6701421238899954
COLMAP,indoor,COLMAP Cams,VGGT Pcd,confidence,0.09720820188522339,0.001222063961904496,22.96001688639323,0.19848201672236124,0.7055058479309082,0.6216750022831586
COLMAP,indoor,COLMAP Cams,VGGT Pcd,random,0.09373397876818974,0.0011271426531796653,22.886996587117512,0.18787804742654166,0.7022996544837952,0.6249934676498051
COLMAP,indoor,COLMAP Cams,VGGT Pcd,voxels,0.1201196809609731,0.0015367952485879262,22.354334513346355,0.20132427910963693,0.6843584775924683,0.5963372958475877
COLMAP,indoor,,,,0.07197215780615807,0.0007390545797534287,23.825786590576172,0.1683450440565745,0.7078664700190226,0.657691324882908
VGGT,indoor,,,confidence,0.4174390931924184,0.011186495733757814,19.46871821085612,0.2808534950017929,0.5437469085057577,0.4115788605671722
VGGT,indoor,,,random,0.4260660757621129,0.011038683199634155,19.415937423706055,0.27091873188813526,0.5380548536777496,0.41340532137223435
VGGT,indoor,,,voxels,0.4109683434168498,0.011175131270041069,19.43711789449056,0.27811725934346515,0.5405011475086212,0.41078459803407935
COLMAP,outdoor,COLMAP Cams,Both Pcds,confidence,0.05924016609787941,0.0012657540307069819,23.46221351623535,0.25614748398462933,0.6098089218139648,0.5394158577387121
COLMAP,outdoor,COLMAP Cams,Both Pcds,random,0.05700813978910446,0.0012492883834056556,23.377458572387695,0.24789618452390036,0.6025947332382202,0.5387208927418728
COLMAP,outdoor,COLMAP Cams,Both Pcds,voxels,0.056905925273895264,0.0011941140013126035,23.31720542907715,0.26841582854588825,0.5975179274876913,0.5219697546127531
COLMAP,outdoor,COLMAP Cams,VGGT Pcd,confidence,0.12166256954272588,0.0024575639011648795,22.70549710591634,0.31089718143145245,0.5735406478246053,0.47039696439303486
COLMAP,outdoor,COLMAP Cams,VGGT Pcd,random,0.06999488423268001,0.0018659643052766721,22.70980707804362,0.2680891255537669,0.5704317986965179,0.49508346411632925
COLMAP,outdoor,COLMAP Cams,VGGT Pcd,voxels,0.07451973482966423,0.001626694497341911,22.43897755940755,0.30737386147181195,0.5620590845743815,0.4609219416256252
COLMAP,outdoor,,,,0.06447636460264523,0.0013713106357802947,23.042020161946613,0.3178586761156718,0.5890687306722006,0.4814124041004359
VGGT,outdoor,,,confidence,0.5773456494013468,0.017758619040250778,18.290992736816406,0.430897980928421,0.3462187747160594,0.18163554799332104
VGGT,outdoor,,,random,0.4671357174714406,0.017784721838931244,18.34314473470052,0.3893701732158661,0.3440665105978648,0.20697714094994826
VGGT,outdoor,,,voxels,0.4546141177415848,0.017714583470175665,18.4553960164388,0.409996102253596,0.352644145488739,0.20133997418288163
COLMAP,synthetic,COLMAP Cams,Both Pcds,confidence,3.564432722826799,0.039318425580859184,23.26476542154948,0.0891419065495332,0.846393088499705,0.7772025880063924
COLMAP,synthetic,COLMAP Cams,Both Pcds,random,3.5667804603775344,0.03933295848158499,23.27634557088216,0.08942005038261414,0.8467223445574442,0.7774378888943195
COLMAP,synthetic,COLMAP Cams,Both Pcds,voxels,3.564248315989971,0.039320598589256406,23.27053960164388,0.08966480568051338,0.8466416796048483,0.7771321149413426
COLMAP,synthetic,COLMAP Cams,VGGT Pcd,confidence,3.5650558744867644,0.03931004026283821,23.331350962320965,0.08939288929104805,0.8474564949671427,0.7789026010851723
COLMAP,synthetic,COLMAP Cams,VGGT Pcd,random,3.5659547075629234,0.039316890838866435,23.24144109090169,0.08966746677954991,0.8458003203074137,0.77609958799662
COLMAP,synthetic,COLMAP Cams,VGGT Pcd,voxels,3.5640331332882247,0.039298636838793755,23.337191263834637,0.08927379796902339,0.8474516868591309,0.7790814562195795
COLMAP,synthetic,,,,3.5510158017277718,0.040107661935811244,22.964616139729817,0.09737447649240494,0.8436449964841207,0.7649553633204832
VGGT,synthetic,,,confidence,0.2485407143831253,0.005857481465985377,21.36053975423177,0.09656932950019836,0.7968130310376486,0.7083601350905138
VGGT,synthetic,,,random,0.24854102979103723,0.0058457632549107075,21.35563596089681,0.0966891497373581,0.7966232498486837,0.7080843778420299
VGGT,synthetic,,,voxels,0.2488104651371638,0.005854141277571519,21.32831573486328,0.09720062216122945,0.7961553931236267,0.7069891235878489
