choice,dataset,num_images,depth_loss_mode,eval_rre,eval_rte,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
VGGT,lego,30,,2.1169753074645996,0.02933218516409397,13.8456449508667,0.3083689212799072,0.6319642663002014,0.0185,0.039542511105537415
VGGT,lego,30,closer,2.107685089111328,0.029237573966383934,13.961328506469727,0.29988914728164673,0.638745129108429,0.0185,0.04402179643511772
VGGT,lego,30,full,2.070296049118042,0.02725835330784321,13.895721435546875,0.2984773814678192,0.6378123164176941,0.0185,0.04162072390317917
VGGT,lego,30,points,2.1328463554382324,0.028868114575743675,13.85888957977295,0.31200578808784485,0.6264526844024658,0.0185,0.03945259377360344
VGGT,ship,30,,0.21569392085075378,0.0038687291089445353,21.941848754882812,0.1384487748146057,0.7162020802497864,0.0278,0.024165701121091843
VGGT,ship,30,closer,0.21077094972133636,0.0037771915085613728,21.875244140625,0.14672790467739105,0.7145700454711914,0.0278,0.03237973898649216
VGGT,ship,30,full,0.21324819326400757,0.0034809252247214317,22.058561325073242,0.1413440704345703,0.7182753682136536,0.0278,0.024591630324721336
VGGT,ship,30,points,0.24442759156227112,0.0037600991781800985,22.0036678314209,0.14201214909553528,0.7150752544403076,0.0278,0.02437034621834755
VGGT,drums,30,,0.6450808048248291,0.01179701741784811,13.856667518615723,0.28722187876701355,0.6922610998153687,,0.06134996563196182
VGGT,drums,30,closer,0.6486456394195557,0.011316015385091305,13.969110488891602,0.28373420238494873,0.6959607005119324,,0.11493374407291412
VGGT,drums,30,full,0.6324405670166016,0.00829554907977581,13.97821044921875,0.27855655550956726,0.6978873610496521,,0.09538827836513519
VGGT,drums,30,points,0.6692621111869812,0.008457602001726627,13.98939037322998,0.2866881191730499,0.6881235837936401,,0.05244677513837814
