choice,dataset,depth_lambda,eval_rre,eval_rte,psnr,lpips,ssim,quality
VGGT,lego,0.0,0.2516995370388031,0.006157866213470697,20.352569580078125,0.07587305456399918,0.773491382598877,0.6888311082101471
VGGT,lego,0.01,0.2510965168476105,0.00612429715692997,20.326358795166016,0.07561840116977692,0.7728941440582275,0.6881536544531177
VGGT,lego,0.1,0.2506943643093109,0.005985543597489595,20.365610122680664,0.07569177448749542,0.7737855315208435,0.689356517935047
VGGT,lego,1.0,0.2498689591884613,0.005741949193179607,20.36750602722168,0.0786505714058876,0.7746972441673279,0.6880983747178815
VGGT,lego,10.0,0.2575385272502899,0.005407971329987049,20.160852432250977,0.08887511491775513,0.7726932168006897,0.6767880638517909
VGGT,ship,0.0,0.3772093653678894,0.008311179466545582,22.858901977539062,0.1296185404062271,0.748465359210968,0.6874333439011167
VGGT,ship,0.01,0.3757881820201874,0.008262885734438896,22.885026931762695,0.12918613851070404,0.7499500513076782,0.6890522950922536
VGGT,ship,0.1,0.37900322675704956,0.00834654364734888,22.7270565032959,0.13183481991291046,0.7459458112716675,0.68215026742766
VGGT,ship,1.0,0.37889471650123596,0.008399376645684242,22.630733489990234,0.13897423446178436,0.7435418963432312,0.6745536637004124
VGGT,ship,10.0,0.3857959508895874,0.008780606091022491,22.593271255493164,0.15674705803394318,0.7411015033721924,0.6614619094764668
VGGT,drums,0.0,0.11593722552061081,0.0031003891490399837,20.899389266967773,0.08484406024217606,0.8690087795257568,0.749277867739893
VGGT,drums,0.01,0.11487296223640442,0.003089034929871559,20.84661293029785,0.08521798998117447,0.8682293891906738,0.7476139235237034
VGGT,drums,0.1,0.11767970770597458,0.0030604752246290445,20.650653839111328,0.08639930188655853,0.8637073636054993,0.740611387178292
VGGT,drums,1.0,0.13352516293525696,0.0031083908397704363,20.01078987121582,0.09172286093235016,0.8504794239997864,0.7177402696840323
VGGT,drums,10.0,0.16975462436676025,0.003246971871703863,19.08634376525879,0.10383353382349014,0.8301266431808472,0.6812429623393906
