choice,dataset_collection,num_points,sampling_mode,psnr,lpips,ssim,quality,avge
COLMAP,indoor,60980,,25.60411834716797,0.1857345700263977,0.8674019575119019,0.7731847258803903,0.1842087764836046
COLMAP,indoor,80892,,28.943090438842773,0.1583382934331894,0.9078155755996704,0.8755625190287151,0.15441090147636588
COLMAP,indoor,92853,,27.95215606689453,0.12160562723875046,0.9019156098365784,0.8764360954402869,0.14546411732701187
VGGT,indoor,1000,random,24.45117441813151,0.3069774309794108,0.8001256783803304,0.6376497868931806,0.2525132763454541
VGGT,indoor,5000,random,25.676129659016926,0.2170171837011973,0.8504396279652914,0.7452885223746635,0.20198376655006425
VGGT,indoor,10000,random,25.93996238708496,0.1964587370554606,0.8617599407831827,0.7694847787745928,0.19005702731391153
VGGT,indoor,50000,random,25.83322270711263,0.1781338850657145,0.8641826113065084,0.7802365214529816,0.18278393839428206
VGGT,indoor,100000,random,25.667619705200195,0.17601748804251352,0.8612217903137207,0.776744742846112,0.18337675789505714
VGGT,indoor,500000,random,25.065771738688152,0.17991383373737335,0.8482134342193604,0.7555870326832567,0.1903708997919745
VGGT,indoor,1000000,random,24.71108118693034,0.1842034806807836,0.8415162960688273,0.742454303861413,0.19460388324020936
COLMAP,outdoor,17352,,22.997255325317383,0.34948840737342834,0.6103905439376831,0.4735277968230691,0.3262301614196912
COLMAP,outdoor,19683,,25.439922332763672,0.34192585945129395,0.7329229712486267,0.5950870007334629,0.28719281974388694
COLMAP,outdoor,70656,,24.718013763427734,0.24862007796764374,0.7222579717636108,0.6330776431290959,0.259668951531331
VGGT,outdoor,1000,random,22.424030303955078,0.5433418353398641,0.5594495038191477,0.31345982685320456,0.4037772276706825
VGGT,outdoor,5000,random,23.542048772176106,0.4008471369743347,0.6337225039800009,0.46555806592813626,0.336308006828217
VGGT,outdoor,10000,random,23.897977193196613,0.35575934251149494,0.659594456354777,0.5151111015851089,0.3138938379828552
VGGT,outdoor,50000,random,24.23482831319173,0.2773516873518626,0.6966238419214884,0.5914034838668191,0.27674388517025217
VGGT,outdoor,100000,random,24.140891393025715,0.2579156756401062,0.6987847288449606,0.6029251259282629,0.2696394920990604
VGGT,outdoor,500000,random,23.767709096272785,0.24916672706604004,0.6765604019165039,0.5884182457803052,0.2735288500314151
VGGT,outdoor,1000000,random,23.252957026163738,0.2657170544068019,0.6494202613830566,0.5527981213800882,0.28713243662405874
COLMAP,synthetic,3866,,24.16399574279785,0.08432012051343918,0.9295817017555237,0.8454797243417432,0.1178393757729424
COLMAP,synthetic,5146,,29.063879013061523,0.11321047693490982,0.8914411664009094,0.8960803434339879,0.1479778988143626
COLMAP,synthetic,10313,,33.116729736328125,0.033978622406721115,0.9795733690261841,1.0715809865643484,0.059129427789242434
VGGT,synthetic,870,random,28.640522638956707,0.090761449187994,0.9333207805951437,0.9265888375680967,0.11436092757486734
VGGT,synthetic,4350,random,29.290303548177082,0.07340184474984805,0.9401106834411621,0.9533083259959305,0.10316791268894632
VGGT,synthetic,8700,random,29.35679880777995,0.07072902967532475,0.9402625560760498,0.9562784199471182,0.10194421356928342
VGGT,synthetic,43500,random,29.41257603963216,0.06669121235609055,0.9396140575408936,0.9594245725653247,0.10072706787278925
VGGT,synthetic,87000,random,29.40127944946289,0.06553052738308907,0.9387057423591614,0.9594006701877862,0.10084580984325091
VGGT,synthetic,435000,random,29.320092519124348,0.06279681622982025,0.9364662170410156,0.9582750206066463,0.10130451601104447
VGGT,synthetic,870000,random,29.28669039408366,0.06188719036678473,0.9357061386108398,0.9577734698717962,0.10147703168964257
