choice,dataset,camera_src,pcd_src,sampling_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,lego,COLMAP Cams,Both Pcds,confidence,10.389172554016113,0.11250514537096024,25.149423599243164,0.05014980956912041,0.9035831093788147,0.869617317692462
COLMAP,lego,COLMAP Cams,Both Pcds,random,10.389239311218262,0.11250179260969162,25.261592864990234,0.04986940324306488,0.905335009098053,0.8728921194019219
COLMAP,lego,COLMAP Cams,Both Pcds,voxels,10.389180183410645,0.11250968277454376,25.121536254882812,0.050351109355688095,0.9034000039100647,0.8688695470404904
COLMAP,lego,COLMAP Cams,VGGT Pcd,confidence,10.394617080688477,0.11248759925365448,25.25286293029785,0.05039108917117119,0.904667317867279,0.8720179628859175
COLMAP,lego,COLMAP Cams,VGGT Pcd,random,10.389333724975586,0.11246350407600403,25.1333065032959,0.05061832815408707,0.9027419090270996,0.8685377139193893
COLMAP,lego,COLMAP Cams,VGGT Pcd,voxels,10.391925811767578,0.11247402429580688,25.320816040039062,0.05013762414455414,0.905252993106842,0.87377531384012
COLMAP,lego,,,,10.428851127624512,0.11611875891685486,23.415613174438477,0.06068120896816254,0.8655398488044739,0.8087613326028387
VGGT,lego,,,confidence,0.2506617307662964,0.006141848396509886,20.369808197021484,0.0754542276263237,0.7738659977912903,0.6896279502158973
VGGT,lego,,,random,0.25134414434432983,0.0061338734813034534,20.364919662475586,0.07561351358890533,0.7736722826957703,0.6893258134485296
VGGT,lego,,,voxels,0.2516622543334961,0.006142660975456238,20.346023559570312,0.07587768882513046,0.7733228802680969,0.6886084855784063
COLMAP,ship,COLMAP Cams,Both Pcds,confidence,0.19737577438354492,0.0034312093630433083,21.877010345458984,0.13503731787204742,0.7337315082550049,0.6572889540588955
COLMAP,ship,COLMAP Cams,Both Pcds,random,0.20330606400966644,0.0034548304975032806,21.754127502441406,0.13633710145950317,0.7322109341621399,0.6533217856913436
COLMAP,ship,COLMAP Cams,Both Pcds,voxels,0.19532789289951324,0.00339730572886765,21.84964942932129,0.13685834407806396,0.7339637875556946,0.6557940160244451
COLMAP,ship,COLMAP Cams,VGGT Pcd,confidence,0.19253678619861603,0.003413102123886347,21.95587921142578,0.13516291975975037,0.7362685203552246,0.660155589391536
COLMAP,ship,COLMAP Cams,VGGT Pcd,random,0.20051275193691254,0.0034411493688821793,21.830835342407227,0.13609963655471802,0.7337884306907654,0.6558113971106645
COLMAP,ship,COLMAP Cams,VGGT Pcd,voxels,0.19251559674739838,0.0033918232657015324,21.917020797729492,0.13570022583007812,0.7355678081512451,0.6586945455054171
COLMAP,ship,,,,0.12901882827281952,0.0022772701922804117,22.677448272705078,0.14222858846187592,0.7592695951461792,0.6826073764554086
VGGT,ship,,,confidence,0.37889042496681213,0.008320881985127926,22.837900161743164,0.12902608513832092,0.7482362985610962,0.6872761809182988
VGGT,ship,,,random,0.3774765133857727,0.008290652185678482,22.873300552368164,0.1295565515756607,0.7488802075386047,0.687980850247147
VGGT,ship,,,voxels,0.37872210144996643,0.008308185264468193,22.76759147644043,0.1307801455259323,0.7470088601112366,0.6841736146387456
COLMAP,drums,COLMAP Cams,Both Pcds,confidence,0.10674984008073807,0.002018922008574009,22.76786231994629,0.0822385922074318,0.9018646478652954,0.8047014922678197
COLMAP,drums,COLMAP Cams,Both Pcds,random,0.10779600590467453,0.0020422523375600576,22.813316345214844,0.08205364644527435,0.9026210904121399,0.8060997615896934
COLMAP,drums,COLMAP Cams,Both Pcds,voxels,0.1082368716597557,0.0020548072643578053,22.84043312072754,0.08178496360778809,0.9025612473487854,0.8067327817590921
COLMAP,drums,COLMAP Cams,VGGT Pcd,confidence,0.10801375657320023,0.0020294194109737873,22.785310745239258,0.0826246589422226,0.9014336466789246,0.8045342509780633
COLMAP,drums,COLMAP Cams,VGGT Pcd,random,0.10801764577627182,0.00204601907171309,22.760181427001953,0.08228443562984467,0.9008706212043762,0.8039496529598062
COLMAP,drums,COLMAP Cams,VGGT Pcd,voxels,0.10765799134969711,0.0020300629548728466,22.77373695373535,0.0819835439324379,0.9015342593193054,0.804774509313201
COLMAP,drums,,,,0.09517744928598404,0.0019269566982984543,22.8007869720459,0.08921363204717636,0.906125545501709,0.8034973809032024
VGGT,drums,,,confidence,0.1160699874162674,0.0031097140163183212,20.873910903930664,0.08522767573595047,0.8683367967605591,0.748176274137345
VGGT,drums,,,random,0.11680243164300919,0.003112764097750187,20.82868766784668,0.08489738404750824,0.867317259311676,0.7469464698304131
VGGT,drums,,,voxels,0.11604703962802887,0.003111577592790127,20.8713321685791,0.08494403213262558,0.8681344389915466,0.748185270546395
